sfitixi; 188; open; Repeated driving order id not displayed in GUI; https://github.com/TIXI24/sfitixi/issues/188; gap, non-urgent, unimportant
sfitixi; 186; open; Production server WSOD; https://github.com/TIXI24/sfitixi/issues/186; bug, important, non-urgent
sfitixi; 177; open; Volatile Zoom in daily view; https://github.com/TIXI24/sfitixi/issues/177; bug, important, non-urgent, P4
sfitixi; 169; open; Shift property "amountOfDrivers" is redundant; https://github.com/TIXI24/sfitixi/issues/169; gap, non-urgent, unimportant
sfitixi; 149; open; Optimizing: resource restrictions not respected; https://github.com/TIXI24/sfitixi/issues/149; bug, important, urgent
sfitixi; 140; open; Change management: deleting a passenger should cascade to dependant children.; https://github.com/TIXI24/sfitixi/issues/140; gap, important, P5, urgent
sfitixi; 132; open; TWIG release 2.0 expected soon (DEPRECIATED items); https://github.com/TIXI24/sfitixi/issues/132; important, non-urgent, risk
sfitixi; 124; open; Concept - Routes: should not be unique for start+target; https://github.com/TIXI24/sfitixi/issues/124; bug, gap, important, non-urgent
sfitixi; 121; open; Address inflation while building a new route.; https://github.com/TIXI24/sfitixi/issues/121; bug, gap, important, non-urgent
sfitixi; 106; open; Cannot change zone name; https://github.com/TIXI24/sfitixi/issues/106; bug, non-urgent, unimportant
sfitixi; 78; open; Fahrzeugdepot, add postalcode to list; https://github.com/TIXI24/sfitixi/issues/78; bug, non-urgent, unimportant
